               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.014145,           0.0078304,                   0,             0.76751,             0.63932,             0.70717,             0.46795,            0.046501,           0.0090259,                   0,           0.0083094,           0.0083094,           0.0083094
                 113,            0.013939,           0.0075484,                   0,             0.79721,             0.62693,             0.70448,             0.46423,            0.046399,           0.0090848,                   0,           0.0082942,           0.0082942,           0.0082942
                 114,            0.014233,           0.0076666,                   0,             0.79608,             0.63158,             0.70603,             0.46383,            0.045866,           0.0090765,                   0,           0.0082789,           0.0082789,           0.0082789
                 115,             0.01407,           0.0074893,                   0,             0.80519,             0.63101,             0.70559,             0.46337,            0.045787,            0.009099,                   0,           0.0082637,           0.0082637,           0.0082637
                 116,            0.013936,           0.0075358,                   0,             0.79827,              0.6192,             0.70393,             0.46249,            0.045772,           0.0092431,                   0,           0.0082485,           0.0082485,           0.0082485
                 117,            0.014383,           0.0076729,                   0,              0.7895,              0.6413,             0.70603,             0.46154,            0.046085,           0.0093081,                   0,           0.0082332,           0.0082332,           0.0082332
                 118,            0.014166,           0.0076306,                   0,             0.81759,             0.61753,             0.70099,             0.45949,            0.046047,           0.0094202,                   0,            0.008218,            0.008218,            0.008218
                 119,            0.014047,           0.0076208,                   0,             0.80728,             0.61506,             0.70224,             0.45767,            0.046076,           0.0094159,                   0,           0.0082028,           0.0082028,           0.0082028
                 120,            0.014034,           0.0075338,                   0,             0.77468,             0.64915,              0.7094,             0.46257,            0.045924,           0.0092704,                   0,           0.0081875,           0.0081875,           0.0081875
                 121,            0.014177,           0.0076687,                   0,             0.76359,             0.65997,               0.711,             0.46147,            0.046132,           0.0091961,                   0,           0.0081723,           0.0081723,           0.0081723
                 122,            0.014399,           0.0077029,                   0,             0.75215,             0.66151,             0.70511,             0.46177,            0.046409,           0.0092679,                   0,           0.0081571,           0.0081571,           0.0081571
                 123,            0.014028,           0.0075845,                   0,             0.78326,             0.64815,              0.7079,             0.46216,            0.046505,           0.0092668,                   0,           0.0081418,           0.0081418,           0.0081418
                 124,            0.013874,           0.0075946,                   0,             0.79344,             0.64217,             0.71028,             0.46712,            0.046687,           0.0092708,                   0,           0.0081266,           0.0081266,           0.0081266
                 125,            0.013909,           0.0075291,                   0,              0.8034,             0.64352,             0.70961,             0.46494,            0.046875,           0.0091963,                   0,           0.0081114,           0.0081114,           0.0081114
                 126,            0.013484,           0.0073789,                   0,             0.79046,              0.6472,             0.71158,             0.46444,            0.046752,           0.0092094,                   0,           0.0080962,           0.0080962,           0.0080962
                 127,            0.014173,            0.007237,                   0,              0.8019,             0.63817,             0.71213,             0.46342,            0.046619,           0.0092839,                   0,           0.0080809,           0.0080809,           0.0080809
                 128,             0.01367,           0.0074804,                   0,             0.81596,              0.6306,              0.7115,             0.46618,            0.046686,           0.0092515,                   0,           0.0080657,           0.0080657,           0.0080657
                 129,            0.013667,            0.007288,                   0,             0.77875,             0.65895,             0.71886,             0.46674,            0.046548,           0.0092911,                   0,           0.0080505,           0.0080505,           0.0080505
                 130,            0.013597,           0.0073972,                   0,             0.75779,             0.67217,             0.71878,             0.47008,            0.046146,           0.0093588,                   0,           0.0080352,           0.0080352,           0.0080352
                 131,            0.013864,           0.0074193,                   0,             0.77732,             0.66358,              0.7189,              0.4684,            0.045678,            0.009437,                   0,             0.00802,             0.00802,             0.00802
                 132,            0.014036,           0.0074067,                   0,             0.77058,             0.66358,              0.7164,             0.46957,            0.045502,            0.009436,                   0,           0.0080048,           0.0080048,           0.0080048
                 133,            0.013881,           0.0074229,                   0,               0.779,             0.66512,             0.72019,             0.47054,            0.045578,           0.0093979,                   0,           0.0079895,           0.0079895,           0.0079895
                 134,            0.013179,           0.0070253,                   0,             0.79076,             0.65432,             0.72114,             0.47077,            0.045599,           0.0094361,                   0,           0.0079743,           0.0079743,           0.0079743
                 135,            0.013813,           0.0073602,                   0,             0.80552,             0.65835,             0.72548,             0.47349,             0.04555,           0.0094443,                   0,           0.0079591,           0.0079591,           0.0079591
                 136,            0.013552,           0.0074004,                   0,              0.8265,             0.65428,             0.72567,             0.47559,            0.045564,           0.0093831,                   0,           0.0079438,           0.0079438,           0.0079438
                 137,            0.013533,           0.0073804,                   0,               0.834,             0.65635,             0.72574,             0.47608,            0.045657,           0.0093736,                   0,           0.0079286,           0.0079286,           0.0079286
